,Title,Company Name,Location,Date Of Puplication,skills,Salary,Requirements
10,Python Developer,"Paymob Solutions  Maadi, Cairo, Egypt
23 days ago","Maadi, Cairo, Egypt",23 days ago,"Full Time
Experienced · 2 - 4 Yrs of Exp · IT/Software Development ·
Python
· Django
· Docker
· Information Technology (IT)
· AWS
· API
· Angular
· Software Development
· NoSQL",Confidential,"Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience using Django Framework.
Prolific experience with Docker, Angular, TypeScript
Extensive experience working with AWS and DB (ETL)
Nice to have some experience with Fast API, Relational, and NoSQL database
Strong understanding of constructing API products
Familiarity working with Python, large datasets, and some front-end skills
Exercise a sense of urgency in all of your tasks
Working knowledge of DevOps techniques
Outstanding interpersonal and problem-solving abilities
Must be highly organized with excellent communication and analytical abilities."
11,Senior Full Stack React/ Python (Django) Developer - Remote,"GetTechForce.com  Cairo, Egypt
28 days ago","Cairo, Egypt",28 days ago,"Full Time
Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Agile
· Computer Science
· APIs
· CSS
· Design
· Development
· Front end
· HTML",Confidential,"As a Full-Stack Developer, you will:
Write reusable, testable, efficient and maintainable code.
Design and develop scalable, responsive dynamic web applications in React and Python.
Help us improve our web architecture and move to the cloud.
Improve our CI/CD solutions with automated testing and deployment.
Improve our production monitoring and alert system.
 Qualifications:
3+ years of software development experience in using React.
2+ years of software development experience with Python using Django or similar frameworks.
Good understanding of all parts of the web application stack.
Good knowledge of HTML and CSS.
Excellent debugging skills.
Bonus points if you have:
Experience with CloudFlare or other CDNs, GCP or other cloud computing platforms.
Experience developing modules for Content Management Systems like Wagtail.
Experience with Nginx, Docker or Kubernetes
Experience with Prometheus or Grafana.
 
 "
12,Senior Python Developer,"Human Quality  Maadi, Cairo, Egypt
30 days ago","Maadi, Cairo, Egypt",30 days ago,"Full Time
Work From Home
Experienced · 5 - 8 Yrs of Exp · IT/Software Development
· JavaScript
· OOP
·
Python
· Software Development
· Django
· HTML5
· Programming
· Computer Science
· front-end",Confidential,"● 5+ years of work experience as a Python Developer. ● Strong knowledge of Python and its frameworks, particularly Django. ● Familiarity with front-end technologies such as JavaScript and HTML5. ● Working knowledge of object-relational mapping (ORM) and SQL. ● Understanding of object-oriented programming (OOP) concepts. ● Experience in building database schemas that support business processes. ● Excellent debugging and problem-solving skills. ● Strong communication and teamwork skills."
13,Python Developer,"Advanced Solutions Co.  Heliopolis, Cairo, Egypt
1 month ago","Heliopolis, Cairo, Egypt",1 month ago,"Full Time
Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
·
Python
· Odoo
· Git
· Software Development
· JavaScript
· Software",Confidential,"Requirements:
Bachelor's degree in Computer Science, Software Engineering, or a related field.
Minimum 5 to 7 years of proven experience in Python programming and Odoo development.
Odoo certification is highly preferred.
Experience in customizing and extending Odoo modules to meet specific business requirements.
Proficiency in Python web frameworks (e.g., Flask, Django) and front-end technologies (HTML, CSS, JavaScript).
Familiarity with version control systems, such as Git.
Knowledge of relational databases and experience with PostgreSQL.
Strong understanding of object-oriented programming (OOP) concepts.
Experience in ERP implementations and understanding of business processes.
Knowledge of Agile/Scrum development methodologies is a plus.
Excellent problem-solving and debugging skills.
Proficient in web programming and experience with WooCommerce is a plus.
Strong knowledge and expertise in accounting projects, Retail projects, Manufacturing modules, and project management within Odoo.
Familiarity with databases, ORM concepts, and version control systems.
Ability to work effectively in a team and independently with minimal supervision.
Excellent problem-solving and analytical skills.
Good communication skills to interact with stakeholders and clients.
Preferred Qualifications:
Odoo certification in specific modules or areas of expertise.
Experience with Odoo v14 or the latest version.
Previous experience in the domains of Accounting, Retail, Manufacturing, or Project Management, using Odoo or other ERP systems.
How to Apply:
If you are an experienced Python programmer with a solid Odoo background and meet the above requirements, we'd love to hear from you. Please submit your updated CV, along with a cover letter detailing your Odoo experience and relevant projects.
Note: 
This is a permanent position, and the work location is in Heliopolis, Cairo, Egypt. 
Working hours are from 09:30 AM to 06:00 PM, Sunday to Thursday. 
We regret that we will not be able to consider applications for remote or freelance work for this role.
We look forward to receiving your application and are excited to welcome the right candidate to our team!"
14,Python Developer,"Multi Level Group (MLG)  Maadi, Cairo, Egypt
2 months ago","Maadi, Cairo, Egypt",2 months ago,"Full Time
Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Django
· Engineering
· Git
· Information Technology (IT)
· OOP
· PHP
· Programming
· Software Development",Confidential," Bachelor’s degree in computer science, Computer Engineering, or a related field.
7+ years of experience as a Python Developer.
Expert knowledge of Python and related frameworks including Django and Flask
Experience with git workflows.
A deep understanding and multi-process architecture and the threading limitations of Python.
Ability to integrate multiple data sources into a single system.
Strong knowledge of OOP and PHP programming languages.
Familiarity with testing tools."
15,Python Automation Engineer,"Expleo  Cairo, Egypt
2 months ago","Cairo, Egypt",2 months ago,"Full Time
Experienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality ·
Python
· API
· Automation
· QA
· Software Development",Confidential,"MUST have skills:
Bachelor’s Degree in Computer Science, Information Systems, or other related field, or equivalent work experience.
Fluent command in spoken and written English language.
2 - 4 years of experience in automation (frontend and backend) using Python.
Worked in very complex environments (finance sector, energy sector, ERP, bank, insurance…).
Nice to have skills:
Experience in Python development.
In-depth knowledge of Robot framework or equivalent.
Scrum framework.
Good knowledge of SQL, JSON and XML.
Experienced with API.
Additional course or certification in Quality Assurance.
Did performance tests (tool: Microfocus LoadRunner Cloud or equivalent).
Experienced as functional QA not only doing the technical part (analytical and design thinking)."
16,Senior PHP Developer,"Dolf  Heliopolis, Cairo, Egypt
7 days ago","Heliopolis, Cairo, Egypt",7 days ago,"Full Time
Experienced · 3 - 5 Yrs of Exp · IT/Software Development
· Computer Science
· developer
· Information Technology (IT)
· PHP developer
· PHP
· senior
· Software Development
· Software Engineering
·
Python",Confidential,"Requirements:
Bachelor’s degree in computer science, Software Engineering, or a related field (or equivalent work experience).
Proven track record of at least 3 years working as a Python Developer, with extensive experience in Django and Open edX.
Strong proficiency in Python programming language, including object-oriented programming (OOP) concepts.
In-depth knowledge and hands-on experience with the Django framework, including ORM, views, templates, and authentication.
Experience in customizing and extending Open edX, including the development of XBlocks, custom themes, and course authoring tools.
Familiarity with learning management systems (LMS) and e-learning standards such as SCORM and xAPI.
Proficiency in front-end technologies such as HTML, CSS, JavaScript, and jQuery.
Experience with version control systems (e.g., Git) and agile development methodologies.
Strong problem-solving skills and the ability to troubleshoot complex issues efficiently.
Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
 A Plus Skills:
Web server administration is a plus.
Familiar with Linux commands is a plus.
Experience with other Python frameworks such as Flask or Pyramid.
Familiarity with DevOps practices and cloud platforms (e.g., AWS, Azure).
Knowledge of front-end frameworks such as React or Angular.
Experience in any of PHP frameworks like (Laravel, CodeIgniter, …) or CMS (Drupal, …)
experience working with MySQL Databases.
knowledge of MySQL database management and administration.
Proficiency in SQL and experience in writing complex queries, stored procedures, and functions.
Familiarity with query optimization techniques and performance tuning.
Experience in database security, backup, and recovery procedures.
Knowledge of database design principles, normalization, and indexing.
Understanding of relational database concepts and best practices.
Experience with other database management systems, such as PostgreSQL or Oracle.
Knowledge of database monitoring and management tools.
Familiarity with cloud-based database services, such as Amazon RDS or Azure Database.
Understanding of data warehousing and business intelligence concepts.
Experience with scripting languages, such as Python or Bash."
17,ERPNext / Frappe Developer,"Confidential  Giza, Egypt
5 days ago","Giza, Egypt",5 days ago,"Full Time
Part Time
Work From Home
Experienced · 1 - 4 Yrs of Exp · IT/Software Development
· Frappe
· ERPNext
·
Python
· JavaScript
· Flask
· Django
· API
· Odoo Development
· Odoo ERP",4000 To 15000 EGP Per Month,"Qualifications and Skills:
Bachelor's degree in Computer Science, Computer Engineering, or a related field.
2+ years of hands-on experience as a Python Developer, demonstrating expertise in Python and related frameworks.
Proficiency in the Frappe framework, with the ability to customize and configure ERPNext applications.
Strong understanding of version control tools, including Git, to maintain codebase integrity.
Familiarity with Docker and virtualized environments for effective implementation.
Knowledge of SQL and database design, enabling you to design and optimize the database schema.
Experience in integrating ERPNext with other systems and applications using APIs.
Excellent communication, collaboration, and problem-solving skills.
Familiarity with testing tools to ensure the quality and reliability of applications."
18,"ERP Consultant ""Odoo"" Techno - Functional","Extend | The Ad Network  Maadi, Cairo, Egypt
6 days ago","Maadi, Cairo, Egypt",6 days ago,"Full Time
Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· ERP
· ERP Implementation
· Odoo
·
Python
· Computer Engineering
· Engineering
· Implementation
· Software","Confidential, Medical & Social Insurance / Hybrid Work Type"," Computer Engineering/Science degree from a reputable university is required.
 Complete understanding of ERP and open-source concepts.
 6-10 years of experience in ERP and software industry with at least 5 years of solid experience in Odoo.
 Knowledge of Python, Java script is a must.
 Knowledge of POSTGRES and MYSQL is a must.
 Knowledge of other Open-Source technologies such as PHP is preferred.
 Certificate in ERP implementation is preferred.
 Ability to learn fast and execute accordingly.
 Excellent planning and communication skills.
 Should be able to interact with customer teams and create SRS/BRD document.
 Should be able to communicate verbally and in writing in decent English with the customers and team
members.
 Proper planning and estimation of projects resources & milestones.
 Should be quite conversant with Odoo 16 framework with a background of new coding standards.
 Should have good background in Python and JavaScript.
 Deliver customization of projects in time.
 Functional knowledge in eCommerce Platforms is an added advantage."
19,Odoo Developer,"Peerless  Giza, Egypt
9 days ago","Giza, Egypt",9 days ago,"Full Time
Experienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Startup
· Odoo
· Information Technology (IT)
· Engineering
· GITLAB
· Pycharm
· HTML
· XML","Confidential, Social Insurance","Should have Python experience as well as a solid understanding of Object Oriented Design and Programming.
Experience in Developing new Odoo Modules and extension of Odoo framework and its existing modules.
Experience in integrating Odoo with Other Business Systems.
Should have working knowledge of API's in ODOO.
Knowledge of different Project Lifecycles.
Experience in writing Modules for Odoo Web site .
Experience in HTML, XML, JavaScript, and JQuery.
Experience in PostgreSQL database.
Experience in Webkit, RML Report, OpenOffice Reports and Pentaho Report (preferred).
Experience in using Eclipse or Pycharm IDEs.
Experience with GITLAB or equivalent source control"
20,Data Engineer,"UMX Studio  Dokki, Giza, Egypt
22 hours ago","Dokki, Giza, Egypt",22 hours ago,"Full Time
Experienced · 2 - 4 Yrs of Exp · IT/Software Development
· Computer Engineering
· Data Analysis
· Java
·
Python
· Software
· Software Engineering
· Software Development
· SQL
· Programming",Confidential,"Qualifications:
Bachelor's or Master's degree in Computer Science, Software Engineering, Data Science, or a related field.
Proven experience in data engineering, software development, and data analysis, preferably in a business or industry setting.
Strong proficiency in SQL and database management systems (e.g., MySQL, PostgreSQL, Oracle).
Proficiency in at least one programming language for software development (e.g., Python, Java, Scala).
Experience with data integration tools and ETL frameworks (e.g., Apache Spark, Apache Airflow).
 "
21,"Research Specialist Level 1, Data Analysis","Weill Cornell MedicineQatar  Doha, Qatar
23 hours ago","Doha, Qatar",23 hours ago,"Full Time
Not specified · IT/Software Development · Marketing/PR/Advertising · Media/Journalism/Publishing
· marketing
· social media
· market research
· e-marketing
· computer science
· analysis
· research",Confidential,"Skills
Education
Bachelor's Degree
Experience
Bachelor’s Degree in Computer Science, Applied Mathematics or related field with 0 – 2 years of experience. Master’s Degree preferred.
Previous experience with AI and Machine Learning methods is preferred.
Previous experience in research or biomedical data analysis is preferred.
Knowledge, Skills and Abilities
Knowledge of programming in Python, C++, or Java.
Knowledge of emerging clinical research trends and biomedical research data management landscape.
Solid understanding and knowledge of data collection, transforms and cleaning using Excel and other tools.
Ability to communicate technical information concisely to technical and non-technical audiences.
Ability to communicate in scientific written reports and presentations."
22,Senior Back-end Developer (Magento),"Seoudi Supermarket  Sheikh Zayed, Giza, Egypt
1 day ago","Sheikh Zayed, Giza, Egypt",1 day ago,"Full Time
Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
· front-end
· Information Technology (IT)
· JavaScript
· SEO
· Software Development
· Testing
· Web Development",Confidential,"Job Requirement:
-Proven work experience as a Back-end developer (Minimum of 3 Years of Experience in backend development)
-Experience in the following domains/platforms/technologies:
-PHP and Laravel frameworks
-Magento (At least 2 years of experience)
-Integration with different databases (e.g. MariaDB, Postgres, MySQL)
-Work with third-party REST and GraphQL APIs
-Unit testing with Javascript
-Deep understanding of the whole web development process (design, development and deployment)
-Hands on experience with programming languages like PHP, Java, Ruby and Python
-Working knowledge of CMS framework
-Familiarity with front-end languages (e.g. HTML, JavaScript and CSS)
-Excellent analytical and time management skills
-Teamwork skills with a problem-solving attitude
-BSc degree in Engineering, Computer Science or relevant field"
23,Senior Odoo Developer - (Onsite),"Confidential  Nasr City, Cairo, Egypt
13 days ago","Nasr City, Cairo, Egypt",13 days ago,"Full Time
Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· Odoo
· Information Technology (IT)
· ERP
· Odoo ERP
· Accounting
· Computer Science
· Odoo Development","70000 To 75000 EGP Per Month, Social And Medical Insurance","5-7 years of work experience of Odoo/ OpenERP is a must.
Working experience in Odoo version 12, 13+ Community and Enterprise Edition.
Experience in developing & configuring Odoo applications/modules in the areas of Sales, Purchase, HR, Accounting, etc.
Strong knowledge of Core Python and programming concepts
Must have sound knowledge of Odoo MVC architecture.
Sound judgement and independent decision-making regarding the viability of ERP solutions and abstract concepts.
Experience in Odoo ERP Implementation full successful cycle.
Experience in deploying and customizing Odoo ERP.
Developing, using Python is plus."
24,Odoo Developer,"Engosoft  Nasr City, Cairo, Egypt
5 days ago","Nasr City, Cairo, Egypt",5 days ago,"Full Time
Experienced · 2 - 4 Yrs of Exp · males_preferred · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· CSS
· Git
· HTML
· JavaScript
·
Python
· Agile
· Computer Science",Males Preferred,"Bachelor's degree in Computer Science, Software Engineering, or a related field.
+2 years experience with Odoo
The candidate must have created a range of apps using Python frameworks like Django, Flask, Odoo, and others.
Experience with design patterns is a must.
Front-end and Back-end programming experience.
Must have a perfect understanding of object-oriented programming.
Knowledge of functional programming.
Must understand JavaScript, HTML, CSS, etc.
Maintain MVC architectural patterns.
Handy with Git protocol.
Prior contribution to open-source projects is a plus.
A deep understanding of open-source licenses and their differences is a plus.
Accounting knowledge is an advantage
Experience with Odoo version 14.
Knowledge of version control tools such as Git.
Learn about Agile development methodologies."
25,Generative AI Engineer,"Easygenerator  Dubai, United Arab Emirates
5 days ago","Dubai, United Arab Emirates",5 days ago,"Full Time
Not specified · IT/Software Development · Sales/Retail · Engineering - Mechanical/Electrical
· Generators
· Mechanical Engineering
· Sales
· Engineering
· Electrical Engineering
· Sales Skills
· AI",Confidential,Null
26,NLP Engineer,"Sceel.io  Maadi, Cairo, Egypt
6 days ago","Maadi, Cairo, Egypt",6 days ago,"Full Time
Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· computer
· Computer Science
· Data Science
· Information Technology (IT)
· Keras
· Java
· Machine Learning",Confidential," Proven experience as an NLP Engineer or similar role for at least 4 years
Understanding of NLP techniques for text representation, semantic extraction techniqstructures and modeling
Experience in Working with Big Data Framworks
Ability to effectively design software architecture.
Deep understanding of text representation techniques (such as n-grams, bag of words,
sentiment analysis etc), statistics and classification algorithms
Experience for at least 4 years in Python, Java and R
Ability to write robust and testable code.
Experience with machine learning frameworks (like Keras or PyTorch) and libraries (likelearn)
Strong communication skills
An analytical mind with problem-solving abilities
Degree in Computer Science, Mathematics, Computational Linguistics, or similar field
Python Language with knowledge in data science libraries such as Numpy, pandas and Scikit…etc.
Knowledge in any stack NLP.
Knowledge in Linux. How to work with it as system and how to manage its files."
27,HAWK & Patriot Data & Systems Analyst / Programmer,"Prattwhitney  Jeddah, Saudi Arabia
6 days ago","Jeddah, Saudi Arabia",6 days ago,"Full Time
Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· computer science
· information technology (it)
· software development
· sql
· java
· engineering
· html",Confidential,Null
28,Generative AI Engineer,"Sana Commerce  Dubai, United Arab Emirates
6 days ago","Dubai, United Arab Emirates",6 days ago,"Full Time
Not specified · IT/Software Development · Sales/Retail · Engineering - Mechanical/Electrical
· Generators
· Mechanical Engineering
· Sales
· Engineering
· Electrical Engineering
· Sales Skills
· AI",Confidential,Null
29,Product Data Analyst,"Sana Commerce  Dubai, United Arab Emirates
6 days ago","Dubai, United Arab Emirates",6 days ago,"Full Time
Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· Data Analysis
· Analysis
· Computer Science
· Information Technology (IT)
· Microsoft Office
· SQL
· Business Analysis",Confidential,Null
30,Backend Developer,"Orevan  6th of October, Giza, Egypt
7 days ago","6th of October, Giza, Egypt",7 days ago,"Full Time
Experienced · 2 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology
· back-end
· Computer Science
· AWS
· Software Development
· Development
· Information Technology (IT)
· Java",Confidential,"Back-end Developer Requirements:
2+ years industry experience
Bachelor’s degree in computer programming, computer science, or a related field.
Fluency or understanding of specific languages, such as Java, PHP, or Python, and operating systems is a plus.
Strong English written and verbal communication skills.
Strong understanding of the web development cycle and programming techniques and tools.
Focus on efficiency, user experience, and process improvement.
Excellent project and time management skills.
Strong problem solving and verbal and written communication skills.
Ability to work independently or with a group.
Excellent foundation in computer science, algorithms, and web design
Experience in writing highly secure web applications
Experience with core AWS web-enabling technologies
Growth mindset that challenges the status quo and focuses on outside-the-box ideas and solutions
 
 "
31,Bioinformatician,"Sidra Medical and Research Center  Doha, Qatar
7 days ago","Doha, Qatar",7 days ago,"Full Time
Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· ai
· analysis
· artificial intelligence
· bio-information
· data analysis
·
python
· research",Confidential,Null
